abandon	əˈbændən
saucepan	ˈsɔːspən
sauerkraut	ˈsaʊəkraʊt
saunter	ˈsɔːntə(r)
sauce	sɔːs
saurian	ˈsɔːriən
sausage	ˈsɒsɪdʒ
sauropod	ˈsɔːrəpɒd
sauna	ˈsɔːnə
savage	ˈsævɪdʒ
savagely	ˈsævɪdʒli
save	seɪv
savant	ˈsævənt
savagery	ˈsævɪdʒri
saveloy	ˈsævəlɔɪ
saving	ˈseɪvɪŋ
savannah	səˈvænə
saviour	ˈseɪvjə(r)
saver	ˈseɪvə(r)
savvy	ˈsævi
savoury	ˈseɪvəri
savour	ˈseɪvə(r)
savoy	səˈvɔɪ
sawdust	ˈsɔːdʌst
sawmill	ˈsɔːmɪl
saxhorn	ˈsækshɔːn
sawhorse	ˈsɔːhɔːs
say	seɪ
says	sez
said	sez
said	sez
saxifrage	ˈsæksɪfreɪdʒ
saying	ˈseɪɪŋ
saw	sɔː
sax	sæks
saxophonist	sækˈsɒfənɪst
scabbard	ˈskæbəd
scabby	ˈskæbi
scabrous	ˈskeɪbrəs
saxophone	ˈsæksəfəʊn
scads	skædz
scaffold	ˈskæfəʊld
scabious	ˈskeɪbiəs
scab	skæb
scaffolding	ˈskæfəldɪŋ
scalar	ˈskeɪlə(r)
scabies	ˈskeɪbiːz
scalawag	ˈskæləwæɡ
scalding	ˈskɔːldɪŋ
scale	skeɪl
scallion	ˈskæliən
scallop	ˈskɒləp
scald	skɔːld
scalp	skælp
scallywag	ˈskæliwæɡ
scalpel	ˈskælpəl
scalper	ˈskælpə(r)
scam	skæm
scamper	ˈskæmpə(r)
scandal	ˈskændl
scampi	ˈskæmpi
scandalmonger	ˈskændlmʌŋɡə(r)
scamp	skæmp
scandium	ˈskændiəm
scant	skænt
scandalize	ˈskændəlaɪz
scansion	ˈskænʃn
scapegoat	ˈskeɪpɡəʊt
scandalous	ˈskændələs
scandalously	ˈskændələsli
scanner	ˈskænə(r)
scarcely	ˈskeəsli
scare	skeə(r)
scar	skɑː(r)
scarab	ˈskærəb
scarecrow	ˈskeəkrəʊ
scapula	ˈskæpjʊlə
scapulae	ˈskæpjʊliː
scapulas	ˈskæpjʊliː
scarper	ˈskɑːpə(r)
scarf	skɑːf
scarves	skɑːvz
scarfs	skɑːvz
scared	skeəd
scarifier	ˈskærɪfaɪə(r)
scarp	skɑːp
scat	skæt
scarlet	ˈskɑːlət
scart	skɑːt
scarves	skɑːvz
scattergun	ˈskætəɡʌn
scatter	ˈskætə(r)
scathing	ˈskeɪðɪŋ
scathingly	ˈskeɪðɪŋli
scatological	ˌskætəˈlɒdʒɪkl
scenery	ˈsiːnəri
scattered	ˈskætəd
sceptic	ˈskeptɪk
scene	siːn
scavenge	ˈskævɪndʒ
scavenger	ˈskævɪndʒə(r)
sceptical	ˈskeptɪkl
sceptically	ˈskeptɪkli
scent	sent
scented	ˈsentɪd
scenic	ˈsiːnɪk
scenically	ˈsiːnɪkli
schedule	ˈʃedjuːl
scentless	ˈsentləs
scepticism	ˈskeptɪsɪzəm
schadenfreude	ˈʃɑːdnfrɔɪdə
schematize	ˈskiːmətaɪz
schemer	ˈskiːmə(r)
schematic	skiːˈmætɪk
schematically	skiːˈmætɪkli
schism	ˈskɪzəm
schismatic	skɪzˈmætɪk
sceptre	ˈseptə(r)
schema	ˈskiːmə
schemas	ˈskiːmətə
schemata	ˈskiːmətə
schilling	ˈʃɪlɪŋ
schist	ʃɪst
scheming	ˈskiːmɪŋ
scheme	skiːm
scherzando	ˌskeətˈsændəʊ
schizophrenic	ˌskɪtsəˈfrenɪk
schizophrenia	ˌskɪtsəˈfriːniə
schizoid	ˈskɪtsɔɪd
schlock	ʃlɒk
schmooze	ʃmuːz
schmoozer	ʃmuːzə(r)
schnapps	ʃnæps
schnook	ʃnʊk
schmuck	ʃmʌk
schnauzer	ˈʃnaʊzə(r)
scholarly	ˈskɒləli
scholasticism	skəˈlæstɪsɪzəm
scholar	ˈskɒlə(r)
scholarship	ˈskɒləʃɪp
scholastic	skəˈlæstɪk
schoolchild	ˈskuːltʃaɪld
schoolchildren	ˈskuːltʃɪldrən
schoolfellow	ˈskuːlfeləʊ
schoolgirl	ˈskuːlɡɜːl
schooling	ˈskuːlɪŋ
schoolhouse	ˈskuːlhaʊs
schoolteacher	ˈskuːltiːtʃə(r)
schoolmate	ˈskuːlmeɪt
schoolkid	ˈskuːlkɪd
schoolboy	ˈskuːlbɔɪ
schooner	ˈskuːnə(r)
schoolmaster	ˈskuːlmɑːstə(r)
schoolroom	ˈskuːlruːm
school	skuːl
schoolwork	ˈskuːlwɜːk
schwa	ʃwɑː
science	ˈsaɪəns
schuss	ʃʊs
sciatica	saɪˈætɪkə
scimitar	ˈsɪmɪtə(r)
scintillating	ˈsɪntɪleɪtɪŋ
sciatic	saɪˈætɪk
scientism	ˈsaɪəntɪzəm
scintilla	sɪnˈtɪlə
scientific	ˌsaɪənˈtɪfɪk
scientifically	ˌsaɪənˈtɪfɪkli
scientist	ˈsaɪəntɪst
scion	ˈsaɪən
scirocco	sɪˈrɒkəʊ
sclera	ˈsklɪerə
sclerae	ˈsklɪeriː
scleras	ˈsklɪeriː
sclerosis	skləˈrəʊsɪs
sclerotic	skləˈrɒtɪk
scoff	skɒf
scofflaw	ˈskɒflɔː
scold	skəʊld
scolding	skəʊldɪŋ
scoliosis	ˌskəʊliˈəʊsɪs
scone	skɒn
scooter	ˈskuːtə(r)
scoop	skuːp
scooped	skuːpt
scope	skəʊp
scoot	skuːt
scorn	skɔːn
scorecard	ˈskɔːkɑːd
scorer	ˈskɔːrə(r)
scorcher	ˈskɔːtʃə(r)
scorching	ˈskɔːtʃɪŋ
scornful	ˈskɔːnfl
scornfully	ˈskɔːnfəli
scoreboard	ˈskɔːbɔːd
scotch	skɒtʃ
scoreless	ˈskɔːləs
scorch	skɔːtʃ
scorpion	ˈskɔːpiən
scourge	skɜːdʒ
scoundrel	ˈskaʊndrəl
scourer	ˈskaʊərə(r)
scot	skɒt
scouter	ˈskaʊtə(r)
scoutmaster	ˈskaʊtmɑːstə(r)
scowl	skaʊl
scouse	skaʊs
scouting	ˈskaʊtɪŋ
scottie	ˈskɒti
scour	ˈskaʊə(r)
scrabble	ˈskræbl
scots	skɒts
scraggly	ˈskræɡli
scout	skaʊt
scramble	ˈskræmbl
scrap	skræp
scrapbook	ˈskræpbʊk
scrambling	ˈskræmblɪŋ
scrambler	ˈskræmblə(r)
scrapie	ˈskreɪpi
scraping	ˈskreɪpɪŋ
scrape	skreɪp
scraper	ˈskreɪpə(r)
scrapheap	ˈskræphiːp
scratch	skrætʃ
scrawl	skrɔːl
scree	skriː
screamingly	ˈskriːmɪŋli
screech	skriːtʃ
screed	skriːd
scream	skriːm
screening	ˈskriːnɪŋ
screenwriter	ˈskriːnraɪtə(r)
screw	skruː
screwball	ˈskruːbɔːl
screener	ˈskriːnə(r)
screenplay	ˈskriːnpleɪ
scribble	ˈskrɪbl
screwy	ˈskruːi
scribe	skraɪb
screen	skriːn
scribbler	ˈskrɪblə(r)
scrimmage	ˈskrɪmɪdʒ
screwdriver	ˈskruːdraɪvə(r)
scrimp	skrɪmp
scrip	skrɪp
scripted	ˈskrɪptɪd
scriptorium	skrɪpˈtɔːriəm
scriptoriums	skrɪpˈtɔːriə
scriptoria	skrɪpˈtɔːriə
scrofula	ˈskrɒfjʊlə
script	skrɪpt
scriptwriter	ˈskrɪptraɪtə(r)
scripture	ˈskrɪptʃə(r)
scriptural	ˈskrɪptʃərəl
scroll	skrəʊl
scrotum	ˈskrəʊtəm
scrotums	ˈskrəʊtə
scrota	ˈskrəʊtə
scrooge	skruːdʒ
scrubber	ˈskrʌbə(r)
scrubby	ˈskrʌbi
scrubland	ˈskrʌblənd
scrummage	ˈskrʌmɪdʒ
scrounge	skraʊndʒ
scrounger	skraʊndʒə(r)
scrum	skrʌm
scruple	ˈskruːpl
scrumptious	ˈskrʌmpʃəs
scrunch	skrʌntʃ
scruff	skrʌf
scrupulous	ˈskruːpjələs
scrupulously	ˈskruːpjələsli
scrupulousness	ˈskruːpjələsnəs
scrutineer	ˌskruːtəˈnɪə(r)
scrutiny	ˈskruːtəni
scuffle	ˈskʌfl
scull	skʌl
scrutinize	ˈskruːtənaɪz
sculler	ˈskʌlə(r)
scuffling	ˈskʌflɪŋ
sculpt	skʌlpt
sculling	ˈskʌlɪŋ
scumbag	ˈskʌmbæɡ
sculptress	ˈskʌlptrəs
scum	skʌm
scummy	ˈskʌmi
sculptor	ˈskʌlptə(r)
scupper	ˈskʌpə(r)
scurrilous	ˈskʌrələs
scurrilously	ˈskʌrələsli
sculptured	ˈskʌlptʃəd
sculpture	ˈskʌlptʃə(r)
sculptural	ˈskʌlptʃərəl
scurvy	ˈskɜːvi
scuttle	ˈskʌtl
seabird	ˈsiːbɜːd
scuttlebutt	ˈskʌtlbʌt
seabed	ˈsiːbed
scythe	saɪð
seafaring	ˈsiːfeərɪŋ
seaborne	ˈsiːbɔːn
seaborgium	siːˈbɔːɡiəm
seafood	ˈsiːfuːd
seal	siːl
seafront	ˈsiːfrʌnt
sealant	ˈsiːlənt
sealskin	ˈsiːlskɪn
seaboard	ˈsiːbɔːd
seaman	ˈsiːmən
seamen	ˈsiːmən
sealing	ˈsiːlɪŋ
seamanship	ˈsiːmənʃɪp
seamed	siːmd
seagoing	ˈsiːɡəʊɪŋ
seafarer	ˈsiːfeərə(r)
sealer	ˈsiːlə(r)
seamstress	ˈsiːmstrəs
seance	ˈseɪɒ̃s
seam	siːm
sea	siː
seagull	ˈsiːɡʌl
search	sɜːtʃ
sear	sɪə(r)
seaplane	ˈsiːpleɪn
searching	ˈsɜːtʃɪŋ
searchingly	ˈsɜːtʃɪŋli
seamless	ˈsiːmləs
seamlessly	ˈsiːmləsli
seaport	ˈsiːpɔːt
searcher	ˈsɜːtʃə(r)
searchable	ˈsɜːtʃəbl
seasonable	ˈsiːznəbl
seashell	ˈsiːʃel
seashore	ˈsiːʃɔː(r)
seascape	ˈsiːskeɪp
seaquake	ˈsiːkweɪk
seat	siːt
seatmate	ˈsiːtmeɪt
seaside	ˈsiːsaɪd
seasonality	ˌsiːzəˈnæləti
searchlight	ˈsɜːtʃlaɪt
seasick	ˈsiːsɪk
seasickness	ˈsiːsɪknəs
seasonal	ˈsiːzənl
seasonally	ˈsiːzənəli
seasoned	ˈsiːznd
season	ˈsiːzn
searing	ˈsɪərɪŋ
searingly	ˈsɪərɪŋli
seaward	ˈsiːwəd
seaweed	ˈsiːwiːd
seaway	ˈsiːweɪ
seasoning	ˈsiːzənɪŋ
seating	ˈsiːtɪŋ
seaworthy	ˈsiːwɜːði
seaworthiness	ˈsiːwɜːðinəs
sebum	ˈsiːbəm
secession	sɪˈseʃn
secessionist	sɪˈseʃənɪst
second	ˈsekənd
sebaceous	sɪˈbeɪʃəs
secluded	sɪˈkluːdɪd
secondary	ˈsekəndri
secondarily	ˈsekəndrəli
seclude	sɪˈkluːd
secateurs	ˌsekəˈtɜːz
secede	sɪˈsiːd
seclusion	sɪˈkluːʒn
secrecy	ˈsiːkrəsi
seconder	ˈsekəndə(r)
secondly	ˈsekəndli
secrete	sɪˈkriːt
secretarial	ˌsekrəˈteəriəl
secretion	sɪˈkriːʃn
secretariat	ˌsekrəˈteəriət
sectarian	sekˈteəriən
sect	sekt
section	ˈsekʃn
sectional	ˈsekʃənl
sector	ˈsektə(r)
sectarianism	sekˈteəriənɪzəm
secretive	ˈsiːkrətɪv
secretively	ˈsiːkrətɪvli
secretiveness	ˈsiːkrətɪvnəs
secret	ˈsiːkrət
secretly	ˈsiːkrətli
secular	ˈsekjələ(r)
secularize	ˈsekjələraɪz
secularization	ˌsekjələraɪˈzeɪʃn
secularism	ˈsekjələrɪzəm
secularist	ˈsekjələrɪst
sedate	sɪˈdeɪt
sedately	sɪˈdeɪtli
sedan	sɪˈdæn
sedentary	ˈsedntri
seder	ˈseɪdə(r)
sediment	ˈsedɪmənt
sedation	sɪˈdeɪʃn
sedimentary	ˌsedɪˈmentri
sedge	sedʒ
sedimentation	ˌsedɪmenˈteɪʃn
sedative	ˈsedətɪv
seduce	sɪˈdjuːs
seducer	sɪˈdjuːsə(r)
sedition	sɪˈdɪʃn
seditious	sɪˈdɪʃəs
seduction	sɪˈdʌkʃn
seductive	sɪˈdʌktɪv
seductively	sɪˈdʌktɪvli
seductiveness	sɪˈdʌktɪvnəs
see	siː
saw	sɔː
seen	sɔː
sedulous	ˈsedjʊləs
sedulously	ˈsedjʊləsli
seeded	ˈsiːdɪd
seductress	sɪˈdʌktrəs
seedsman	ˈsiːdzmən
seedsmen	ˈsiːdzmən
seedbed	ˈsiːdbed
seedless	ˈsiːdləs
seed	siːd
seedling	ˈsiːdlɪŋ
seeming	ˈsiːmɪŋ
seeker	ˈsiːkə(r)
seek	siːk
sought	sɔːt
sought	sɔːt
seepage	ˈsiːpɪdʒ
seen	siːn
seep	siːp
seemingly	ˈsiːmɪŋli
seer	sɪə(r)
seemly	ˈsiːmli
segment	ˈseɡmənt
segmentation	ˌseɡmenˈteɪʃn
segregation	ˌseɡrɪˈɡeɪʃn
seethe	siːð
segmental	seɡˈmentl
seersucker	ˈsɪəsʌkə(r)
seem	siːm
segue	ˈseɡweɪ
segregate	ˈseɡrɪɡeɪt
segregationist	ˌseɡrɪˈɡeɪʃənɪst
seine	seɪn
seismic	ˈsaɪzmɪk
seismograph	ˈsaɪzməɡrɑːf
seismology	saɪzˈmɒlədʒi
seismological	ˌsaɪzməˈlɒdʒɪkl
seismologist	ˌsaɪzməˈlɒdʒɪst
seize	siːz
seizure	ˈsiːʒə(r)
select	sɪˈlekt
seldom	ˈseldəm
selectee	sɪˌlekˈtiː
selection	sɪˈlekʃn
selector	sɪˈlektə(r)
selenium	səˈliːniəm
self	self
selves	selvz
selective	sɪˈlektɪv
selectively	sɪˈlektɪvli
selectivity	səˌlekˈtɪvəti
sell	sel
sold	səʊld
sold	səʊld
selfless	ˈselfləs
selflessly	ˈselfləsli
selflessness	ˈselfləsnəs
selvedge	ˈselvɪdʒ
selfsame	ˈselfseɪm
seller	ˈselə(r)
selfish	ˈselfɪʃ
selfishly	ˈselfɪʃli
selfishness	ˈselfɪʃnəs
semen	ˈsiːmən
semantics	sɪˈmæntɪks
semester	sɪˈmestə(r)
semaphore	ˈseməfɔː(r)
sememe	ˈsemiːm
seme	siːm
semblance	ˈsembləns
selves	selvz
seltzer	ˈseltzə(r)
semantic	sɪˈmæntɪk
semantically	sɪˈmæntɪkli
semicircle	ˈsemisɜːkl
semicircular	ˌsemiˈsɜːkjələ(r)
semiconductor	ˌsemikənˈdʌktə(r)
semicolon	ˌsemiˈkəʊlən
semibreve	ˈsemibriːv
semimetal	ˈsemimetl
seminal	ˈsemɪnl
seminar	ˈsemɪnɑː(r)
seminarian	ˌsemɪˈneəriən
semiotics	ˌsemiˈɒtɪks
semiotic	ˌsemiˈɒtɪk
semiquaver	ˈsemikweɪvə(r)
semitone	ˈsemitəʊn
semivowel	ˈsemivaʊəl
semolina	ˌseməˈliːnə
sender	ˈsendə(r)
send	send
sent	sent
sent	sent
senator	ˈsenətə(r)
senatorial	ˌsenəˈtɔːriəl
senate	ˈsenət
seniority	ˌsiːniˈɒrəti
senile	ˈsiːnaɪl
senility	səˈnɪləti
sensation	senˈseɪʃn
senior	ˈsiːniə(r)
sensational	senˈseɪʃənl
sensationally	senˈseɪʃənəli
sensationalism	senˈseɪʃənəlɪzəm
sensationalist	senˈseɪʃənəlɪst
sensationalize	senˈseɪʃənəlaɪz
senseless	ˈsensləs
senselessly	ˈsensləsli
sensitize	ˈsensətaɪz
sensitization	ˌsensətaɪˈzeɪʃn
sensor	ˈsensə(r)
sensory	ˈsensəri
sensitive	ˈsensətɪv
sensitively	ˈsensətɪvli
sensual	ˈsenʃuəl
sensuality	ˌsenʃuˈæləti
sensually	ˌsenʃuəli
sense	sens
sensible	ˈsensəbl
sensibly	ˈsensəbli
sentient	ˈsentiənt
sentimental	ˌsentɪˈmentl
sentimentally	ˌsentɪˈmentəli
sensuous	ˈsenʃuəs
sensuously	ˈsenʃuəsli
sensuousness	ˈsenʃuəsnəs
sentimentalist	ˌsentɪˈmentəlɪst
sentiment	ˈsentɪmənt
sentimentalize	ˌsentɪˈmentəlaɪz
sentinel	ˈsentɪnl
sepal	ˈsepl
sentimentality	ˌsentɪmenˈtæləti
sentence	ˈsentəns
separable	ˈsepərəbl
separability	ˌseprəˈbɪləti
separated	ˈsepəreɪtɪd
separately	ˈseprətli
separatist	ˈseprətɪst
separatism	ˈseprətɪzəm
sepoy	ˈsiːpɔɪ
sepsis	ˈsepsɪs
separator	ˈsepəreɪtə(r)
sepia	ˈsiːpiə
separates	ˈseprəts
septic	ˈseptɪk
septillion	sepˈtɪljən
separation	ˌsepəˈreɪʃn
septuagenarian	ˌseptjuədʒəˈneəriən
septet	sepˈtet
septum	ˈseptəm
septa	ˈseptə
sequel	ˈsiːkwəl
sequence	ˈsiːkwəns
sepulchre	ˈseplkə(r)
sequencer	ˈsiːkwənsə(r)
sepulchral	səˈpʌlkrəl
sequester	sɪˈkwestə(r)
sequin	ˈsiːkwɪn
sequinned	ˈsiːkwɪnd
sera	ˈsɪərə
sequential	sɪˈkwenʃl
sequentially	sɪˈkwenʃəli
sequestered	sɪˈkwestəd
sequestrate	ˈsiːkwəstreɪt
sequestration	ˌsiːkwəˈstreɪʃn
sequoia	sɪˈkwɔɪə
seraph	ˈserəf
seraphim	ˈserəfɪm
seraphs	ˈserəfɪm
seraphic	səˈræfɪk
serenade	ˌserəˈneɪd
serene	səˈriːn
serenely	səˈriːnli
serenity	səˈrenəti
sergeant	ˈsɑːdʒənt
serge	sɜːdʒ
serendipity	ˌserənˈdɪpəti
serendipitous	ˌserənˈdɪpətəs
serial	ˈsɪəriəl
serf	sɜːf
serfdom	ˈsɜːfdəm
serialize	ˈsɪəriəlaɪz
serialization	ˌsɪəriəlaɪˈzeɪʃn
serif	ˈserɪf
serious	ˈsɪəriəs
seriously	ˈsɪəriəsli
seriousness	ˈsɪəriəsnəs
sermonize	ˈsɜːmənaɪz
sermon	ˈsɜːmən
serpent	ˈsɜːpənt
serotonin	ˌserəˈtəʊnɪn
serration	seˈreɪʃn
serum	ˈsɪərəm
sera	ˈsɪərə
serums	ˈsɪərə
serpentine	ˈsɜːpəntaɪn
serve	sɜːv
servant	ˈsɜːvənt
serrated	səˈreɪtɪd
serviceman	ˈsɜːvɪsmən
servicemen	ˈsɜːvɪsmən
servicewomen	ˈsɜːvɪsmən
serving	ˈsɜːvɪŋ
serried	ˈserid
sesame	ˈsesəmi
servile	ˈsɜːvaɪl
servility	sɜːˈvɪləti
serviceable	ˈsɜːvɪsəbl
servitor	ˈsɜːvɪtə(r)
servitude	ˈsɜːvɪtjuːd
session	ˈseʃn
serviette	ˌsɜːviˈet
servicing	ˈsɜːvɪsɪŋ
server	ˈsɜːvə(r)
service	ˈsɜːvɪs
sett	set
setback	ˈsetbæk
setting	ˈsetɪŋ
settee	seˈtiː
settler	ˈsetlə(r)
settlement	ˈsetlmənt
several	ˈsevrəl
setter	ˈsetə(r)
seventh	ˈsevnθ
seventy	ˈsevnti
seventieth	ˈsevntiəθ
seven	ˈsevn
severally	ˈsevrəli
sever	ˈsevə(r)
severance	ˈsevərəns
sew	səʊ
sewed	səʊn
sewn	səʊn
sewed	səʊn
sewage	ˈsuːɪdʒ
settled	ˈsetld
settle	ˈsetl
sex	seks
sewing	ˈsəʊɪŋ
sewerage	ˈsuːərɪdʒ
sexagenarian	ˌseksədʒəˈneəriən
seventeen	ˌsevnˈtiːn
seventeenth	ˌsevnˈtiːnθ
sewer	ˈsuːə(r)
sexism	ˈseksɪzəm
sexless	ˈseksləs
sexpot	ˈsekspɒt
sewn	səʊn
sexology	sekˈsɒlədʒi
sexologist	sekˈsɒlədʒɪst
sextant	ˈsekstənt
sextet	seksˈtet
sexist	ˈseksɪst
sextuplet	ˈsekstʊplət
sexton	ˈsekstən
sexualize	ˈsekʃuəlaɪz
sexualization	ˌsekʃuəlaɪˈzeɪʃn
sexual	ˈsekʃuəl
sexually	ˈsekʃəli
sh	ʃ
shackle	ˈʃækl
shack	ʃæk
sexuality	ˌsekʃuˈæləti
shackles	ˈʃæklz
shade	ʃeɪd
shading	ˈʃeɪdɪŋ
shadow	ˈʃædəʊ
shaft	ʃɑːft
shag	ʃæɡ
shadowy	ˈʃædəʊi
shagged	ʃæɡd
shake	ʃeɪk
shook	ʃʊk
shaken	ʃʊk
shaken	ˈʃeɪkən
shah	ʃɑː
shakedown	ˈʃeɪkdaʊn
shaking	ˈʃeɪkɪŋ
shallot	ʃəˈlɒt
shall	ʃəl
shall not	ʃɑːnt
shan't	ʃɑːnt
should	ʃɑːnt
should not	ʃɑːnt
shouldn't	ʃɑːnt
shallows	ˈʃæləʊz
shalt	ʃælt
shame	ʃeɪm
shamefaced	ˌʃeɪmˈfeɪst
shamefacedly	ˌʃeɪmˈfeɪstli
shambles	ˈʃæmblz
sham	ʃæm
shalom	ʃəˈlɒm
shaman	ˈʃeɪmən
shamanic	ʃəˈmænɪk
shamble	ˈʃæmbl
shambolic	ʃæmˈbɒlɪk
shaming	ˈʃeɪmɪŋ
shameful	ˈʃeɪmfl
shamefully	ˈʃeɪmfəli
shameless	ˈʃeɪmləs
shamelessly	ˈʃeɪmləsli
shamelessness	ˈʃeɪmləsnəs
shamrock	ˈʃæmrɒk
shaped	ʃeɪpt
share	ʃeə(r)
shard	ʃɑːd
shank	ʃæŋk
shanghai	ˌʃæŋˈhaɪ
shanghaiing	ˌʃæŋˈhaɪɪŋ
shanghaied	ˌʃæŋˈhaɪɪŋ
shanghaied	ˌʃæŋˈhaɪɪŋ
sharecropper	ˈʃeəkrɒpə(r)
shapely	ˈʃeɪpli
shareholder	ˈʃeəhəʊldə(r)
shapeless	ˈʃeɪpləs
shapelessly	ˈʃeɪpləsli
shapelessness	ˈʃeɪpləsnəs
sharpen	ˈʃɑːpən
shape	ʃeɪp
sharply	ˈʃɑːpli
shareware	ˈʃeəweə(r)
sharpener	ˈʃɑːpnə(r)
shark	ʃɑːk
sharpshooter	ˈʃɑːpʃuːtə(r)
shatter	ˈʃætə(r)
shattering	ˈʃætərɪŋ
shatteringly	ˈʃætərɪŋli
shaver	ˈʃeɪvə(r)
shavings	ˈʃeɪvɪŋz
shattered	ˈʃætəd
shave	ʃeɪv
sheaf	ʃiːf
sheaves	ʃiːvz
shaven	ˈʃeɪvn
shear	ʃɪə(r)
sheared	ʃɔːn
shorn	ʃɔːn
sheared	ʃɔːn
shawl	ʃɔːl
sheath	ʃiːθ
sheaths	ʃiːðz
sheathe	ʃiːð
sheaves	ʃiːvz
shebang	ʃɪˈbæŋ
sheen	ʃiːn
shears	ʃɪəz
sheepfold	ˈʃiːpfəʊld
shed	ʃed
she	ʃi
sheepherder	ˈʃiːphɜːdə(r)
shebeen	ʃɪˈbiːn
shearwater	ˈʃɪəwɔːtə(r)
sheepdog	ˈʃiːpdɒɡ
sheepskin	ˈʃiːpskɪn
sheepish	ˈʃiːpɪʃ
sheepishly	ˈʃiːpɪʃli
sheer	ʃɪə(r)
sheila	ˈʃiːlə
shekel	ˈʃekl
shell	ʃel
shelf	ʃelf
shelves	ʃelvz
sheikh	ʃeɪk
shellfire	ˈʃelfaɪə(r)
shellac	ʃəˈlæk
sheikhdom	ˈʃeɪkdəm
shelter	ˈʃeltə(r)
shelling	ˈʃelɪŋ
sheltered	ˈʃeltəd
shenanigans	ʃɪˈnænɪɡənz
shepherd	ˈʃepəd
shelves	ʃelvz
sherd	ʃɜːd
shepherdess	ˌʃepəˈdes
shelving	ˈʃelvɪŋ
sheriff	ˈʃerɪf
sherpa	ˈʃɜːpə
sherbet	ˈʃɜːbət
sherlock	ˈʃɜːlɒk
shield	ʃiːld
shibboleth	ˈʃɪbəleθ
shiatsu	ʃiˈætsuː
shied	ʃaɪd
shiftless	ˈʃɪftləs
shifter	ˈʃɪftə(r)
shift	ʃɪft
shimmer	ˈʃɪmə(r)
shim	ʃɪm
shiitake	ʃɪˈtɑːki
shin	ʃɪn
shilling	ˈʃɪlɪŋ
shingle	ˈʃɪŋɡl
shiner	ˈʃaɪnə(r)
shingly	ˈʃɪŋɡli
shindig	ˈʃɪndɪɡ
shingled	ˈʃɪnɡld
shingles	ˈʃɪŋɡlz
ship	ʃɪp
shipbuilder	ˈʃɪpbɪldə(r)
shipbuilding	ˈʃɪpbɪldɪŋ
shipmate	ˈʃɪpmeɪt
shipment	ˈʃɪpmənt
shipboard	ˈʃɪpbɔːd
shipowner	ˈʃɪpəʊnə(r)
shipshape	ˈʃɪpʃeɪp
shipper	ˈʃɪpə(r)
shipwreck	ˈʃɪprek
shipload	ˈʃɪpləʊd
shipyard	ˈʃɪpjɑːd
shirt	ʃɜːt
shirk	ʃɜːk
shirker	ʃɜːkə(r)
shire	ˈʃaɪə(r)
shit	ʃɪt
shipping	ˈʃɪpɪŋ
shirtsleeve	ˈʃɜːtsliːv
shirty	ˈʃɜːti
shitty	ˈʃɪti
shivery	ˈʃɪvəri
shiver	ˈʃɪvə(r)
shock	ʃɒk
shockproof	ˈʃɒkpruːf
shoal	ʃəʊl
shoe	ʃuː
shocking	ˈʃɒkɪŋ
shockingly	ˈʃɒkɪŋli
shoehorn	ˈʃuːhɔːn
shocker	ˈʃɒkə(r)
shod	ʃɒd
shoelace	ˈʃuːleɪs
shoemaker	ˈʃuːmeɪkə(r)
shoemaking	ˈʃuːmeɪkɪŋ
shoestring	ˈʃuːstrɪŋ
shoeshine	ˈʃuːʃaɪn
shogun	ˈʃəʊɡən
shone	ʃɒn
shook	ʃʊk
shopkeeper	ˈʃɒpkiːpə(r)
shooter	ˈʃuːtə(r)
shooting	ˈʃuːtɪŋ
shopper	ˈʃɒpə(r)
shoot	ʃuːt
shot	ʃɒt
shot	ʃɒt
shop	ʃɒp
shopworn	ˈʃɒpwɔːn
shore	ʃɔː(r)
shoplifting	ˈʃɒplɪftɪŋ
shoplift	ˈʃɒplɪft
shoplifter	ˈʃɒplɪftə(r)
shoreline	ˈʃɔːlaɪn
shorn	ʃɔːn
shortcake	ˈʃɔːtkeɪk
shortage	ˈʃɔːtɪdʒ
shortbread	ˈʃɔːtbred
shopping	ˈʃɒpɪŋ
shortcoming	ˈʃɔːtkʌmɪŋ
shorten	ˈʃɔːtn
shorthorn	ˈʃɔːthɔːn
shortening	ˈʃɔːtnɪŋ
shorthand	ˈʃɔːthænd
shorthair	ˈʃɔːtheə(r)
shortfall	ˈʃɔːtfɔːl
shortlist	ˈʃɔːtlɪst
shortly	ˈʃɔːtli
shorts	ʃɔːts
shout	ʃaʊt
shouting	ˈʃaʊtɪŋ
shotgun	ˈʃɒtɡʌn
shovel	ˈʃʌvl
shove	ʃʌv
show	ʃəʊ
showed	ʃəʊn
shown	ʃəʊn
showed	ʃəʊn
shovelful	ˈʃʌvlfʊl
shoulder	ˈʃəʊldə(r)
shower	ˈʃaʊə(r)
showdown	ˈʃəʊdaʊn
showboat	ˈʃəʊbəʊt
showboating	ˈʃəʊbəʊtɪŋ
showcase	ˈʃəʊkeɪs
showery	ˈʃaʊəri
showman	ˈʃəʊmən
showmen	ˈʃəʊmən
shown	ʃəʊn
showgirl	ˈʃəʊɡɜːl
showmanship	ˈʃəʊmənʃɪp
showplace	ˈʃəʊpleɪs
showy	ˈʃəʊi
showily	ˈʃəʊɪli
showiness	ˈʃəʊinəs
showpiece	ˈʃəʊpiːs
shrank	ʃræŋk
shrapnel	ˈʃræpnəl
shrew	ʃruː
showroom	ˈʃəʊruːm
shrewish	ˈʃruːɪʃ
shriek	ʃriːk
shredder	ˈʃredə(r)
