a	eɪ
scamper	ˈskæmpə(r)
scanty	ˈskænti
scarce	skeəs
scapegoat	ˈskeɪpɡəʊt
scant	skænt
scarecrow	ˈskeəkrəʊ
scare	skeə(r)
scar	skɑː(r)
scabrous	ˈskeɪbrəs
scansion	ˈskænʃn
scarf	skɑːf
scarves	skɑːvz
scalding	ˈskɔːldɪŋ
scarifier	ˈskærɪfaɪə(r)
scaremonger	ˈskeəmʌŋɡə(r)
scarlet	ˈskɑːlət
scarp	skɑːp
scarper	ˈskɑːpə(r)
scarcely	ˈskeəsli
scarcity	ˈskeəsəti
scat	skæt
scarify	ˈskærɪfaɪ
scared	skeəd
scart	skɑːt
scary	ˈskeəri
scatter	ˈskætə(r)
scarves	skɑːvz
scatological	ˌskætəˈlɒdʒɪkl
scatty	ˈskæti
scenario	səˈnɑːriəʊ
scenery	ˈsiːnəri
scene	siːn
scent	sent
scattered	ˈskætəd
scavenger	ˈskævɪndʒə(r)
sceptic	ˈskeptɪk
scavenge	ˈskævɪndʒ
sceptre	ˈseptə(r)
schadenfreude	ˈʃɑːdnfrɔɪdə
scenic	ˈsiːnɪk
scenically	ˈsiːnɪkli
schedule	ˈʃedjuːl
scepticism	ˈskeptɪsɪzəm
scheme	skiːm
scented	ˈsentɪd
schema	ˈskiːmə
schemata	ˈskiːmətə
schemata	skiːˈmɑːtə
sceptical	ˈskeptɪkl
sceptically	ˈskeptɪkli
schemer	ˈskiːmə(r)
scherzando	ˌskeətˈsændəʊ
scheming	ˈskiːmɪŋ
schism	ˈskɪzəm
schismatic	skɪzˈmætɪk
schismatic	sɪzˈmætɪk
schematize	ˈskiːmətaɪz
scherzo	ˈskeətsəʊ
schematic	skiːˈmætɪk
schematically	skiːˈmætɪkli
schilling	ˈʃɪlɪŋ
schizophrenic	ˌskɪtsəˈfrenɪk
schist	ʃɪst
schlock	ʃlɒk
schmo	ʃməʊ
schnapps	ʃnæps
schizoid	ˈskɪtsɔɪd
schizophrenia	ˌskɪtsəˈfriːniə
schlep	ʃlep
schmaltz	ʃmɔːlts
scholar	ˈskɒlə(r)
schnauzer	ˈʃnaʊzə(r)
scholarly	ˈskɒləli
school	skuːl
schmuck	ʃmʌk
schmooze	ʃmuːz
schmoozer	ʃmuːzə(r)
schnook	ʃnʊk
scholastic	skəˈlæstɪk
schoolfellow	ˈskuːlfeləʊ
schoolboy	ˈskuːlbɔɪ
schoolhouse	ˈskuːlhaʊs
scholarship	ˈskɒləʃɪp
schooling	ˈskuːlɪŋ
schoolmaster	ˈskuːlmɑːstə(r)
schoolmistress	ˈskuːlmɪstrəs
schoolgirl	ˈskuːlɡɜːl
schooner	ˈskuːnə(r)
scholasticism	skəˈlæstɪsɪzəm
schoolie	ˈskuːli
schuss	ʃʊs
schwa	ʃwɑː
scimitar	ˈsɪmɪtə(r)
schoolroom	ˈskuːlruːm
schoolwork	ˈskuːlwɜːk
scintillating	ˈsɪntɪleɪtɪŋ
scintilla	sɪnˈtɪlə
sciatic	saɪˈætɪk
scientific	ˌsaɪənˈtɪfɪk
scientifically	ˌsaɪənˈtɪfɪkli
scientism	ˈsaɪəntɪzəm
sciatica	saɪˈætɪkə
scientist	ˈsaɪəntɪst
science	ˈsaɪəns
scion	ˈsaɪən
scirocco	sɪˈrɒkəʊ
sclerosis	skləˈrəʊsɪs
sclerotic	skləˈrɒtɪk
scoff	skɒf
sclera	ˈsklɪerə
sclerae	ˈsklɪeriː
scleras	ˈsklɪerəz
scissors	ˈsɪzəz
scold	skəʊld
scolding	skəʊldɪŋ
scofflaw	ˈskɒflɔː
scoliosis	ˌskəʊliˈəʊsɪs
scoop	skuːp
scoot	skuːt
scope	skəʊp
scone	skɒn
scorch	skɔːtʃ
scorching	ˈskɔːtʃɪŋ
score	skɔː(r)
scoreline	ˈskɔːlaɪn
scorcher	ˈskɔːtʃə(r)
scooped	skuːpt
scooter	ˈskuːtə(r)
scorn	skɔːn
scornful	ˈskɔːnfl
scornfully	ˈskɔːnfəli
scorpion	ˈskɔːpiən
scorer	ˈskɔːrə(r)
scot	skɒt
scotch	skɒtʃ
scorpio	ˈskɔːpiəʊ
scour	ˈskaʊə(r)
scout	skaʊt
scoundrel	ˈskaʊndrəl
scowl	skaʊl
scouter	ˈskaʊtə(r)
scouting	ˈskaʊtɪŋ
scrabble	ˈskræbl
scraggy	ˈskræɡi
scourer	ˈskaʊərə(r)
scourge	skɜːdʒ
scouse	skaʊs
scraggly	ˈskræɡli
scrambler	ˈskræmblə(r)
scrape	skreɪp
scrambling	ˈskræmblɪŋ
scramble	ˈskræmbl
scraper	ˈskreɪpə(r)
scram	skræm
scratchy	ˈskrætʃi
scrawl	skrɔːl
scrapie	ˈskreɪpi
scrap	skræp
scraping	ˈskreɪpɪŋ
scrappy	ˈskræpi
scrawny	ˈskrɔːni
scream	skriːm
screamingly	ˈskriːmɪŋli
screech	skriːtʃ
screen	skriːn
scratch	skrætʃ
scree	skriː
screenplay	ˈskriːnpleɪ
screener	ˈskriːnə(r)
scribble	ˈskrɪbl
screwy	ˈskruːi
screening	ˈskriːnɪŋ
scrimmage	ˈskrɪmɪdʒ
screed	skriːd
scribbler	ˈskrɪblə(r)
scrimp	skrɪmp
scribe	skraɪb
script	skrɪpt
scrip	skrɪp
screw	skruː
scripted	ˈskrɪptɪd
scrofula	ˈskrɒfjʊlə
scrooge	skruːdʒ
scrub	skrʌb
scroll	skrəʊl
scripture	ˈskrɪptʃə(r)
scriptural	ˈskrɪptʃərəl
scrubland	ˈskrʌblənd
scriptorium	skrɪpˈtɔːriəm
scriptoria	skrɪpˈtɔːriə
scrummage	ˈskrʌmɪdʒ
scrubby	ˈskrʌbi
scrounge	skraʊndʒ
scrounger	skraʊndʒə(r)
scrumptious	ˈskrʌmpʃəs
scrumpy	ˈskrʌmpi
scrubber	ˈskrʌbə(r)
scruffy	ˈskrʌfi
scrunch	skrʌntʃ
scruff	skrʌf
scrummy	ˈskrʌmi
scrotum	ˈskrəʊtəm
scrota	ˈskrəʊtə
scuffle	ˈskʌfl
scrum	skrʌm
scrutinize	ˈskruːtənaɪz
scuffling	ˈskʌflɪŋ
scud	skʌd
scrutiny	ˈskruːtəni
sculler	ˈskʌlə(r)
scruple	ˈskruːpl
scull	skʌl
scrupulous	ˈskruːpjələs
scrupulously	ˈskruːpjələsli
sculptress	ˈskʌlptrəs
scuff	skʌf
sculpt	skʌlpt
sculpture	ˈskʌlptʃə(r)
sculptural	ˈskʌlptʃərəl
sculling	ˈskʌlɪŋ
sculptor	ˈskʌlptə(r)
scrutineer	ˌskruːtəˈnɪə(r)
scungy	ˈskʌndʒi
scum	skʌm
scummy	ˈskʌmi
sculptured	ˈskʌlptʃəd
scurvy	ˈskɜːvi
scullery	ˈskʌləri
scurrilous	ˈskʌrələs
scurrilously	ˈskʌrələsli
scunge	skʌndʒ
scurry	ˈskʌri
scuttle	ˈskʌtl
scuzzy	ˈskʌzi
scupper	ˈskʌpə(r)
sea	siː
seaborgium	siːˈbɔːɡiəm
seabed	ˈsiːbed
seaboard	ˈsiːbɔːd
seafarer	ˈsiːfeərə(r)
seafaring	ˈsiːfeərɪŋ
seafront	ˈsiːfrʌnt
seal	siːl
scythe	saɪð
seagull	ˈsiːɡʌl
sealskin	ˈsiːlskɪn
sealing	ˈsiːlɪŋ
seaborne	ˈsiːbɔːn
seam	siːm
seamed	siːmd
seamanship	ˈsiːmənʃɪp
sealant	ˈsiːlənt
seamless	ˈsiːmləs
seamlessly	ˈsiːmləsli
seamy	ˈsiːmi
seaquake	ˈsiːkweɪk
search	sɜːtʃ
searchable	ˈsɜːtʃəbl
seascape	ˈsiːskeɪp
season	ˈsiːzn
seat	siːt
seasonal	ˈsiːzənl
seasonally	ˈsiːzənəli
seaweed	ˈsiːwiːd
sealer	ˈsiːlə(r)
seaplane	ˈsiːpleɪn
seborrhoea	ˌsebəˈrɪə
seborrhoeic	ˌsebəˈriːɪk
sear	sɪə(r)
seaside	ˈsiːsaɪd
seasonable	ˈsiːznəbl
seasonality	ˌsiːzəˈnæləti
sebum	ˈsiːbəm
searchlight	ˈsɜːtʃlaɪt
sebaceous	sɪˈbeɪʃəs
seclusion	sɪˈkluːʒn
seaport	ˈsiːpɔːt
secessionist	sɪˈseʃənɪst
second	ˈsekənd
seconder	ˈsekəndə(r)
secrecy	ˈsiːkrəsi
secretary	ˈsekrətri
searing	ˈsɪərɪŋ
searingly	ˈsɪərɪŋli
seasoned	ˈsiːznd
searcher	ˈsɜːtʃə(r)
seaworthy	ˈsiːwɜːði
seaworthiness	ˈsiːwɜːðinəs
secret	ˈsiːkrət
secretly	ˈsiːkrətli
searching	ˈsɜːtʃɪŋ
searchingly	ˈsɜːtʃɪŋli
seating	ˈsiːtɪŋ
seclude	sɪˈkluːd
secondary	ˈsekəndri
secondarily	ˈsekəndrəli
secretariat	ˌsekrəˈteəriət
secondly	ˈsekəndli
secretion	sɪˈkriːʃn
secrete	sɪˈkriːt
secretive	ˈsiːkrətɪv
secretively	ˈsiːkrətɪvli
secede	sɪˈsiːd
sectarianism	sekˈteəriənɪzəm
seasoning	ˈsiːzənɪŋ
secateurs	ˌsekəˈtɜːz
secluded	sɪˈkluːdɪd
secretarial	ˌsekrəˈteəriəl
secession	sɪˈseʃn
sector	ˈsektə(r)
sect	sekt
seaward	ˈsiːwəd
secretaire	ˌsekrəˈteə(r)
sectarian	sekˈteəriən
secular	ˈsekjələ(r)
sectional	ˈsekʃənl
secularize	ˈsekjələraɪz
secularization	ˌsekjələraɪˈzeɪʃn
sedan	sɪˈdæn
sedate	sɪˈdeɪt
sedately	sɪˈdeɪtli
secularism	ˈsekjələrɪzəm
secularist	ˈsekjələrɪst
sedative	ˈsedətɪv
sedge	sedʒ
secure	sɪˈkjʊə(r)
section	ˈsekʃn
sedation	sɪˈdeɪʃn
sedentary	ˈsedntri
sedimentation	ˌsedɪmenˈteɪʃn
sedimentary	ˌsedɪˈmentri
seduce	sɪˈdjuːs
sediment	ˈsedɪmənt
sedulous	ˈsedjʊləs
sedulously	ˈsedjʊləsli
seed	siːd
seeded	ˈsiːdɪd
seedless	ˈsiːdləs
seducer	sɪˈdjuːsə(r)
sedition	sɪˈdɪʃn
seditious	sɪˈdɪʃəs
seek	siːk
sought	sɔːt
security	sɪˈkjʊərəti
seductive	sɪˈdʌktɪv
seductively	sɪˈdʌktɪvli
see	siː
saw	sɔː
seen	siːn
seemingly	ˈsiːmɪŋli
seedbed	ˈsiːdbed
seeker	ˈsiːkə(r)
seepage	ˈsiːpɪdʒ
seem	siːm
seer	sɪə(r)
seductress	sɪˈdʌktrəs
seedling	ˈsiːdlɪŋ
segment	ˈseɡmənt
seersucker	ˈsɪəsʌkə(r)
seethe	siːð
seedsman	ˈsiːdzmən
seedsmen	ˈsiːdzmən
seduction	sɪˈdʌkʃn
seedy	ˈsiːdi
seediness	ˈsiːdinəs
segue	ˈseɡweɪ
segregationist	ˌseɡrɪˈɡeɪʃənɪst
segmental	seɡˈmentl
seemly	ˈsiːmli
segregation	ˌseɡrɪˈɡeɪʃn
seep	siːp
seeming	ˈsiːmɪŋ
segregate	ˈseɡrɪɡeɪt
seine	seɪn
segmentation	ˌseɡmenˈteɪʃn
seismograph	ˈsaɪzməɡrɑːf
seize	siːz
seismic	ˈsaɪzmɪk
seismology	saɪzˈmɒlədʒi
seismological	ˌsaɪzməˈlɒdʒɪkl
seen	siːn
selenium	səˈliːniəm
seldom	ˈseldəm
seller	ˈselə(r)
seizure	ˈsiːʒə(r)
selector	sɪˈlektə(r)
selvedge	ˈselvɪdʒ
selectee	sɪˌlekˈtiː
selective	sɪˈlektɪv
selectively	sɪˈlektɪvli
select	sɪˈlekt
semantics	sɪˈmæntɪks
selves	selvz
selfsame	ˈselfseɪm
semanteme	sɪˈmæntiːm
selfish	ˈselfɪʃ
selfishly	ˈselfɪʃli
semblance	ˈsembləns
sememe	ˈsemiːm
semester	sɪˈmestə(r)
semaphore	ˈseməfɔː(r)
self	self
selves	selvz
seltzer	ˈseltzə(r)
selkie	ˈselki
semantic	sɪˈmæntɪk
semantically	sɪˈmæntɪkli
semen	ˈsiːmən
semicircle	ˈsemisɜːkl
semicircular	ˌsemiˈsɜːkjələ(r)
semicolon	ˌsemiˈkəʊlən
selfless	ˈselfləs
selflessly	ˈselfləsli
semi	ˈsemi
semibreve	ˈsemibriːv
sell	sel
sold	səʊld
seminarian	ˌsemɪˈneəriən
semiconductor	ˌsemikənˈdʌktə(r)
seminal	ˈsemɪnl
seminar	ˈsemɪnɑː(r)
seminary	ˈsemɪnəri
semiquaver	ˈsemikweɪvə(r)
semitone	ˈsemitəʊn
senate	ˈsenət
semiotics	ˌsemiˈɒtɪks
semiotic	ˌsemiˈɒtɪk
semivowel	ˈsemivaʊəl
semolina	ˌseməˈliːnə
sender	ˈsendə(r)
send	send
sent	sent
senior	ˈsiːniə(r)
seniority	ˌsiːniˈɒrəti
sense	sens
senescence	sɪˈnesns
sensationalism	senˈseɪʃənəlɪzəm
sensationalist	senˈseɪʃənəlɪst
senile	ˈsiːnaɪl
senility	səˈnɪləti
sensible	ˈsensəbl
sensibly	ˈsensəbli
sensation	senˈseɪʃn
senseless	ˈsensləs
senselessly	ˈsensləsli
sensibility	ˌsensəˈbɪləti
sensitize	ˈsensətaɪz
sensitization	ˌsensətaɪˈzeɪʃn
senator	ˈsenətə(r)
senatorial	ˌsenəˈtɔːriəl
sensitive	ˈsensətɪv
sensitively	ˈsensətɪvli
sensuous	ˈsenʃuəs
sensuously	ˈsenʃuəsli
sentence	ˈsentəns
sensory	ˈsensəri
sensationalize	senˈseɪʃənəlaɪz
sentiment	ˈsentɪmənt
sensational	senˈseɪʃənl
sensationally	senˈseɪʃənəli
sentencer	ˈsentənsə(r)
sentient	ˈsentiənt
sentimentality	ˌsentɪmenˈtæləti
sensual	ˈsenʃuəl
sensuality	ˌsenʃuˈæləti
sensor	ˈsensə(r)
sententious	senˈtenʃəs
sententiously	senˈtenʃəsli
separable	ˈsepərəbl
separability	ˌseprəˈbɪləti
separate	ˈseprət
separatist	ˈseprətɪst
separatism	ˈseprətɪzəm
sentimentalist	ˌsentɪˈmentəlɪst
sepia	ˈsiːpiə
separator	ˈsepəreɪtə(r)
sentry	ˈsentri
sepoy	ˈsiːpɔɪ
sentimentalize	ˌsentɪˈmentəlaɪz
sepal	ˈsepl
sentinel	ˈsentɪnl
sentimental	ˌsentɪˈmentl
sentimentally	ˌsentɪˈmentəli
septet	sepˈtet
sepsis	ˈsepsɪs
separates	ˈseprəts
sent	sent
separation	ˌsepəˈreɪʃn
separately	ˈseprətli
septuagenarian	ˌseptjuədʒəˈneəriən
septuplet	ˈseptjʊplɪt
sepulchre	ˈseplkə(r)
sequel	ˈsiːkwəl
sequencer	ˈsiːkwənsə(r)
septum	ˈseptəm
septa	ˈseptə
septillion	sepˈtɪljən
separated	ˈsepəreɪtɪd
sequential	sɪˈkwenʃl
sequentially	sɪˈkwenʃəli
sequestered	sɪˈkwestəd
septicaemia	ˌseptɪˈsiːmiə
septic	ˈseptɪk
sequence	ˈsiːkwəns
sequestrate	ˈsiːkwəstreɪt
sequestration	ˌsiːkwəˈstreɪʃn
sera	ˈsɪərə
sequin	ˈsiːkwɪn
sequinned	ˈsiːkwɪnd
sequoia	sɪˈkwɔɪə
seraphic	səˈræfɪk
sequester	sɪˈkwestə(r)
serenade	ˌserəˈneɪd
serene	səˈriːn
serenely	səˈriːnli
serendipity	ˌserənˈdɪpəti
serendipitous	ˌserənˈdɪpətəs
sergeant	ˈsɑːdʒənt
seraph	ˈserəf
seraphim	ˈserəfɪm
serfdom	ˈsɜːfdəm
serf	sɜːf
serge	sɜːdʒ
serialize	ˈsɪəriəlaɪz
serialization	ˌsɪəriəlaɪˈzeɪʃn
serial	ˈsɪəriəl
serif	ˈserɪf
seriousness	ˈsɪəriəsnəs
seriously	ˈsɪəriəsli
serious	ˈsɪəriəs
series	ˈsɪəriːz
sermonize	ˈsɜːmənaɪz
sermon	ˈsɜːmən
serpent	ˈsɜːpənt
serpentine	ˈsɜːpəntaɪn
serotonin	ˌserəˈtəʊnɪn
serration	seˈreɪʃn
serve	sɜːv
service	ˈsɜːvɪs
serum	ˈsɪərəm
sera	ˈsɪərə
serviceman	ˈsɜːvɪsmən
servicewoman	ˈsɜːvɪswʊmən
servicemen	ˈsɜːvɪsmən
servicewomen	ˈsɜːvɪswɪmɪn
servicing	ˈsɜːvɪsɪŋ
servile	ˈsɜːvaɪl
servility	sɜːˈvɪləti
serving	ˈsɜːvɪŋ
serrated	səˈreɪtɪd
serried	ˈserid
servery	ˈsɜːvəri
serviceable	ˈsɜːvɪsəbl
servitude	ˈsɜːvɪtjuːd
servo	ˈsɜːvəʊ
sesame	ˈsesəmi
servitor	ˈsɜːvɪtə(r)
serviette	ˌsɜːviˈet
server	ˈsɜːvə(r)
servant	ˈsɜːvənt
session	ˈseʃn
setback	ˈsetbæk
settee	seˈtiː
setter	ˈsetə(r)
settler	ˈsetlə(r)
setting	ˈsetɪŋ
several	ˈsevrəl
sett	set
severe	sɪˈvɪə(r)
sew	səʊ
sewn	səʊn
sever	ˈsevə(r)
sewage	ˈsuːɪdʒ
severally	ˈsevrəli
sewer	ˈsuːə(r)
settlement	ˈsetlmənt
sewn	səʊn
severance	ˈsevərəns
seventeen	ˌsevnˈtiːn
seventeenth	ˌsevnˈtiːnθ
seventh	ˈsevnθ
settled	ˈsetld
seven	ˈsevn
seventy	ˈsevnti
seventieth	ˈsevntiəθ
set	set
sexless	ˈseksləs
sextant	ˈsekstənt
sextet	seksˈtet
sexist	ˈseksɪst
sexagenarian	ˌseksədʒəˈneəriən
sexism	ˈseksɪzəm
sexology	sekˈsɒlədʒi
sexologist	sekˈsɒlədʒɪst
settle	ˈsetl
sexuality	ˌsekʃuˈæləti
sextuplet	ˈsekstʊplət
sewerage	ˈsuːərɪdʒ
sexpot	ˈsekspɒt
sex	seks
shabby	ˈʃæbi
shabbily	ˈʃæbɪli
shade	ʃeɪd
sh	ʃ
sexualize	ˈsekʃuəlaɪz
sexualization	ˌsekʃuəlaɪˈzeɪʃn
shading	ˈʃeɪdɪŋ
shadow	ˈʃædəʊ
shadowy	ˈʃædəʊi
shaft	ʃɑːft
shackles	ˈʃæklz
shaikh	ʃeɪk
shake	ʃeɪk
shook	ʃʊk
shaken	ˈʃeɪkən
sewing	ˈsəʊɪŋ
shackle	ˈʃækl
sexy	ˈseksi
shack	ʃæk
shaggy	ˈʃæɡi
shagged	ʃæɡd
shag	ʃæɡ
shaky	ˈʃeɪki
shakily	ˈʃeɪkɪli
shale	ʃeɪl
shaking	ˈʃeɪkɪŋ
shallot	ʃəˈlɒt
shall	ʃəl
shan't	ʃɑːnt
should	ʃʊd
shouldn't	ˈʃʊdnt
shallow	ˈʃæləʊ
shallowly	ˈʃæləʊli
shalom	ʃəˈlɒm
shallows	ˈʃæləʊz
shalt	ʃælt
shah	ʃɑː
sham	ʃæm
shaman	ˈʃeɪmən
shamanic	ʃəˈmænɪk
shamble	ˈʃæmbl
shamba	ˈʃæmbə
shamateur	ˈʃæmətə(r)
shamateurism	ˈʃæmətərɪzəm
shamateurism	ˈʃæmətʃərɪzəm
shame	ʃeɪm
shambles	ˈʃæmblz
shaker	ˈʃeɪkə(r)
shady	ˈʃeɪdi
shambolic	ʃæmˈbɒlɪk
shameful	ˈʃeɪmfl
shamefully	ˈʃeɪmfəli
shameless	ˈʃeɪmləs
shamelessly	ˈʃeɪmləsli
sexual	ˈsekʃuəl
sexually	ˈsekʃəli
shaken	ˈʃeɪkən
shaming	ˈʃeɪmɪŋ
shammy	ˈʃæmi
shampoo	ʃæmˈpuː
shamrock	ˈʃæmrɒk
shandy	ˈʃændi
shanghai	ˌʃæŋˈhaɪ
shanghaiing	ˌʃæŋˈhaɪɪŋ
shanghaied	ˌʃæŋˈhaɪd
sharp	ʃɑːp
sharpness	ʃɑːpnəs
shard	ʃɑːd
share	ʃeə(r)
shanty	ˈʃænti
shank	ʃæŋk
shape	ʃeɪp
shapely	ˈʃeɪpli
sharpener	ˈʃɑːpnə(r)
shareware	ˈʃeəweə(r)
shapeless	ˈʃeɪpləs
shapelessly	ˈʃeɪpləsli
sharpshooter	ˈʃɑːpʃuːtə(r)
shattered	ˈʃætəd
shareholder	ˈʃeəhəʊldə(r)
shareholding	ˈʃeəhəʊldɪŋ
sharpish	ˈʃɑːpɪʃ
shattering	ˈʃætərɪŋ
shatteringly	ˈʃætərɪŋli
she	ʃi
shears	ʃɪəz
shave	ʃeɪv
sharpen	ˈʃɑːpən
sheepish	ˈʃiːpɪʃ
sheepishly	ˈʃiːpɪʃli
shebeen	ʃɪˈbiːn
shearwater	ˈʃɪəwɔːtə(r)
sheathe	ʃiːð
shebang	ʃɪˈbæŋ
sheer	ʃɪə(r)
sheepfold	ˈʃiːpfəʊld
shaver	ˈʃeɪvə(r)
sharply	ˈʃɑːpli
shavings	ˈʃeɪvɪŋz
shear	ʃɪə(r)
shorn	ʃɔːn
shaven	ˈʃeɪvn
sheaves	ʃiːvz
sheaf	ʃiːf
sheaves	ʃiːvz
sheepdog	ˈʃiːpdɒɡ
sheen	ʃiːn
shark	ʃɑːk
sheet	ʃiːt
sheeting	ˈʃiːtɪŋ
sheila	ˈʃiːlə
shed	ʃed
shelduck	ˈʃeldʌk
shell	ʃel
shelf	ʃelf
shelves	ʃelvz
sheepskin	ˈʃiːpskɪn
shaped	ʃeɪpt
shekel	ˈʃekl
shelling	ˈʃelɪŋ
shelter	ˈʃeltə(r)
sheikh	ʃeɪk
sheep	ʃiːp
shellfire	ˈʃelfaɪə(r)
sheikhdom	ˈʃeɪkdəm
shellac	ʃəˈlæk
shelving	ˈʃelvɪŋ
sheltered	ˈʃeltəd
shelve	ʃelv
shellfish	ˈʃelfɪʃ
sherbet	ˈʃɜːbət
shenanigans	ʃɪˈnænɪɡənz
shied	ʃaɪd
shepherd	ˈʃepəd
shepherdess	ˌʃepəˈdes
sherd	ʃɜːd
shelves	ʃelvz
sherwani	ʃɜːˈwɑːni
sherpa	ˈʃɜːpə
sherlock	ˈʃɜːlɒk
shift	ʃɪft
sherry	ˈʃeri
shibboleth	ˈʃɪbəleθ
shield	ʃiːld
shiatsu	ʃiˈætsuː
shifter	ˈʃɪftə(r)
shiitake	ʃɪˈtɑːki
sheriff	ˈʃerɪf
shilling	ˈʃɪlɪŋ
shim	ʃɪm
shin	ʃɪn
shifty	ˈʃɪfti
shiftily	ˈʃɪftɪli
shiftless	ˈʃɪftləs
shimmy	ˈʃɪmi
shindig	ˈʃɪndɪɡ
shindy	ˈʃɪndi
shingle	ˈʃɪŋɡl
shimmer	ˈʃɪmə(r)
shinny	ˈʃɪni
shinty	ˈʃɪnti
ship	ʃɪp
shipboard	ˈʃɪpbɔːd
shipmate	ˈʃɪpmeɪt
shipment	ˈʃɪpmənt
shipper	ˈʃɪpə(r)
shipbuilder	ˈʃɪpbɪldə(r)
shipbuilding	ˈʃɪpbɪldɪŋ
shipwreck	ˈʃɪprek
shire	ˈʃaɪə(r)
shingled	ˈʃɪnɡld
shiner	ˈʃaɪnə(r)
shingles	ˈʃɪŋɡlz
shipload	ˈʃɪpləʊd
shipyard	ˈʃɪpjɑːd
shit	ʃɪt
shite	ʃaɪt
shirk	ʃɜːk
shirker	ʃɜːkə(r)
shipping	ˈʃɪpɪŋ
shipshape	ˈʃɪpʃeɪp
shingly	ˈʃɪŋɡli
shiver	ˈʃɪvə(r)
shivery	ˈʃɪvəri
shitty	ˈʃɪti
shirty	ˈʃɜːti
shine	ʃaɪn
shone	ʃɒn
shoal	ʃəʊl
shiny	ˈʃaɪni
shock	ʃɒk
shirt	ʃɜːt
shocker	ˈʃɒkə(r)
shoddy	ˈʃɒdi
shoebox	ˈʃuːbɒks
shod	ʃɒd
shoestring	ˈʃuːstrɪŋ
shoeshine	ˈʃuːʃaɪn
shoemaker	ˈʃuːmeɪkə(r)
shoemaking	ˈʃuːmeɪkɪŋ
shoelace	ˈʃuːleɪs
shoehorn	ˈʃuːhɔːn
shogun	ˈʃəʊɡən
shook	ʃʊk
shooter	ˈʃuːtə(r)
shoot	ʃuːt
shot	ʃɒt
shoreline	ˈʃɔːlaɪn
shoe	ʃuː
shonky	ˈʃɒŋki
shore	ʃɔː(r)
shoo	ʃuː
shocking	ˈʃɒkɪŋ
shockingly	ˈʃɒkɪŋli
shortage	ˈʃɔːtɪdʒ
shorn	ʃɔːn
shopping	ˈʃɒpɪŋ
shortcake	ˈʃɔːtkeɪk
shortcoming	ˈʃɔːtkʌmɪŋ
shorten	ˈʃɔːtn
shone	ʃɒn
shopaholic	ˌʃɒpəˈhɒlɪk
shopworn	ˈʃɒpwɔːn
shoplifting	ˈʃɒplɪftɪŋ
shoplift	ˈʃɒplɪft
shortfall	ˈʃɔːtfɔːl
shopkeeper	ˈʃɒpkiːpə(r)
shorthand	ˈʃɔːthænd
shortly	ˈʃɔːtli
shortening	ˈʃɔːtnɪŋ
shoulder	ˈʃəʊldə(r)
shopper	ˈʃɒpə(r)
shove	ʃʌv
shout	ʃaʊt
shortbread	ˈʃɔːtbred
shovel	ˈʃʌvl
shorts	ʃɔːts
shorthorn	ˈʃɔːthɔːn
shooting	ˈʃuːtɪŋ
shop	ʃɒp
shovelful	ˈʃʌvlfʊl
shotgun	ˈʃɒtɡʌn
shorty	ˈʃɔːti
shotmaking	ˈʃɒtmeɪkɪŋ
show	ʃəʊ
shown	ʃəʊn
showboat	ˈʃəʊbəʊt
showboating	ˈʃəʊbəʊtɪŋ
short	ʃɔːt
shortness	ʃɔːtnəs
showcase	ˈʃəʊkeɪs
showgirl	ˈʃəʊɡɜːl
showground	ˈʃəʊɡraʊnd
shot	ʃɒt
showing	ˈʃəʊɪŋ
showplace	ˈʃəʊpleɪs
shredder	ˈʃredə(r)
shouting	ˈʃaʊtɪŋ
showmanship	ˈʃəʊmənʃɪp
showy	ˈʃəʊi
showily	ˈʃəʊɪli
shrapnel	ˈʃræpnəl
showery	ˈʃaʊəri
shrew	ʃruː
shower	ˈʃaʊə(r)
shrewd	ʃruːd
shrewdly	ʃruːdli
shrill	ʃrɪl
shrilly	ˈʃrɪlli
shred	ʃred
showpiece	ˈʃəʊpiːs
shrank	ʃræŋk
shrimping	ˈʃrɪmpɪŋ
shrimper	ˈʃrɪmpə(r)
shrimp	ʃrɪmp
shrink	ʃrɪŋk
shrank	ʃræŋk
shrunk	ʃrʌŋk
shrewish	ˈʃruːɪʃ
showroom	ˈʃəʊruːm
showman	ˈʃəʊmən
showmen	ˈʃəʊmən
shriek	ʃriːk
shrift	ʃrɪft
should	ʃəd
shouldn't	ˈʃʊdnt
shrine	ʃraɪn
shrug	ʃrʌɡ
shtetl	ˈʃtetl
shtick	ʃtɪk
shuck	ʃʌk
shrub	ʃrʌb
shrivel	ˈʃrɪvl
shrike	ʃraɪk
shrinkage	ˈʃrɪŋkɪdʒ
shroud	ʃraʊd
shudder	ˈʃʌdə(r)
shuffle	ˈʃʌfl
shrubbery	ˈʃrʌbəri
shtup	ʃtʊp
shucks	ʃʌks
shrunk	ʃrʌŋk
shufti	ˈʃʊfti
shunt	ʃʌnt
shrubby	ˈʃrʌbi
shrunken	ˈʃrʌŋkən
shown	ʃəʊn
shush	ʃʊʃ
shun	ʃʌn
shuttle	ˈʃʌtl
shtum	ʃtʊm
shtook	ʃtʊk
shy	ʃaɪ
shyly	ʃaɪli
shutterbug	ˈʃʌtəbʌɡ
shuttlecock	ˈʃʌtlkɒk
shyster	ˈʃaɪstə(r)
shutter	ˈʃʌtə(r)
si	ˌes ˈaɪ
shuttered	ˈʃʌtəd
sibyl	ˈsɪbl
sic	sɪk
