abase	əˈbeɪs
purvey	pəˈveɪ
pursuant	pəˈsjuːənt
purulent	ˈpjʊərələnt
pushchair	ˈpʊʃtʃeə(r)
pussycat	ˈpʊsikæt
pustule	ˈpʌstjuːl
putrefaction	ˌpjuːtrɪˈfækʃn
pussy	ˈpʊsi
putsch	pʊtʃ
pushpin	ˈpʊʃpɪn
puss	pʊs
putter	ˈpʌtə(r)
pussyfoot	ˈpʊsifʊt
putt	pʌt
putrid	ˈpjuːtrɪd
putative	ˈpjuːtətɪv
puzzled	ˈpʌzld
puzzler	ˈpʌzlə(r)
put	pʊt
putrefy	ˈpjuːtrɪfaɪ
puzzle	ˈpʌzl
putz	pʌts
putty	ˈpʌti
pygmy	ˈpɪɡmi
puzzlement	ˈpʌzlmənt
pyjamas	pəˈdʒɑːməz
pyjama	pəˈdʒɑːmə
pylon	ˈpaɪlən
pyramid	ˈpɪrəmɪd
pyramidal	ˈpɪrəmɪdl
pyrethrum	paɪˈriːθrəm
pyre	ˈpaɪə(r)
pyrites	paɪˈraɪtiːz
pyromania	ˌpaɪrəʊˈmeɪniə
pyromaniac	ˌpaɪrəʊˈmeɪniæk
pyrotechnics	ˌpaɪrəˈteknɪks
pyrotechnic	ˌpaɪrəˈteknɪk
quack	kwæk
python	ˈpaɪθən
quad	kwɒd
quadratic	kwɒˈdrætɪk
quackery	ˈkwækəri
quadriceps	ˈkwɒdrɪseps
quadruped	ˈkwɒdruped
qua	kweɪ
quadruple	kwɒˈdruːpl
quadrangle	ˈkwɒdræŋɡl
quadriplegic	ˌkwɒdrɪˈpliːdʒɪk
quaff	kwɒf
quagga	ˈkwæɡə
quagmire	ˈkwæɡmaɪə(r)
quail	kweɪl
quake	kweɪk
qualified	ˈkwɒlɪfaɪd
quaker	ˈkweɪkə(r)
quadraphonic	ˌkwɒdrəˈfɒnɪk
quaint	kweɪnt
quaintly	kweɪntli
quality	ˈkwɒləti
qualify	ˈkwɒlɪfaɪ
qualification	ˌkwɒlɪfɪˈkeɪʃn
quadrant	ˈkwɒdrənt
qualitative	ˈkwɒlɪtətɪv
qualitatively	ˈkwɒlɪtətɪvli
quadrillion	kwɒˈdrɪljən
quango	ˈkwæŋɡəʊ
quadruplet	ˈkwɒdrʊplət
quantify	ˈkwɒntɪfaɪ
qualifier	ˈkwɒlɪfaɪə(r)
quarantine	ˈkwɒrəntiːn
quantity	ˈkwɒntəti
quantitative	ˈkwɒntɪtətɪv
quark	kwɑːk
quarry	ˈkwɒri
quarter	ˈkwɔːtə(r)
quarterly	ˈkwɔːtəli
quarrel	ˈkwɒrəl
quart	kwɔːt
quantifier	ˈkwɒntɪfaɪə(r)
qualm	kwɑːm
quarterdeck	ˈkwɔːtədek
quartet	kwɔːˈtet
quartz	kwɔːts
quash	kwɒʃ
quasi	ˈkweɪzaɪ
quasar	ˈkweɪzɑː(r)
quarrelsome	ˈkwɒrəlsəm
quaver	ˈkweɪvə(r)
quavery	ˈkweɪvəri
quandary	ˈkwɒndəri
quantum	ˈkwɒntəm
quanta	ˈkwɒntə
quartile	ˈkwɔːtaɪl
quay	kiː
quayside	ˈkiːsaɪd
queen	kwiːn
queer	kwɪə(r)
quench	kwentʃ
query	ˈkwɪəri
queenly	ˈkwiːnli
quatrain	ˈkwɒtreɪn
quartermaster	ˈkwɔːtəmɑːstə(r)
quarterback	ˈkwɔːtəbæk
quarto	ˈkwɔːtəʊ
quanta	ˈkwɒntə
quatercentenary	ˌkwætəsenˈtiːnəri
quest	kwest
queerly	ˈkwɪəli
question	ˈkwestʃən
quern	kwɜːn
quiche	kiːʃ
questioning	ˈkwestʃənɪŋ
querulous	ˈkwerələs
quicksilver	ˈkwɪksɪlvə(r)
quickness	ˈkwɪknəs
questioner	ˈkwestʃənə(r)
quicklime	ˈkwɪklaɪm
quid	kwɪd
quiet	ˈkwaɪət
quietly	ˈkwaɪətli
quell	kwel
quickstep	ˈkwɪkstep
quickie	ˈkwɪki
queue	kjuː
quiddity	ˈkwɪdɪti
quickly	ˈkwɪkli
queasy	ˈkwiːzi
quietism	ˈkwaɪətɪzəm
quietist	ˈkwaɪətɪst
quietus	kwaɪˈiːtəs
quicksand	ˈkwɪksænd
quill	kwɪl
quilt	kwɪlt
quibble	ˈkwɪbl
quince	kwɪns
quincentenary	ˌkwɪnsenˈtiːnəri
quilted	ˈkwɪltɪd
quinoa	ˈkiːnwɑː
quieten	ˈkwaɪətn
quint	kwɪnt
quintessence	kwɪnˈtesns
quintessential	ˌkwɪntɪˈsenʃl
quintet	kwɪnˈtet
quilting	ˈkwɪltɪŋ
quin	kwɪn
quintuple	ˈkwɪntjʊpl
questionnaire	ˌkwestʃəˈneə(r)
questionable	ˈkwestʃənəbl
questionably	ˈkwestʃənəbli
quiff	kwɪf
quire	ˈkwaɪə(r)
quip	kwɪp
quinine	kwɪˈniːn
quintile	ˈkwɪntaɪl
quiver	ˈkwɪvə(r)
quicken	ˈkwɪkən
quirk	kwɜːk
quintillion	kwɪnˈtɪljən
quits	kwɪts
quite	kwaɪt
quintuplet	ˈkwɪntʊplət
quietude	ˈkwaɪətjuːd
quiz	kwɪz
quitter	ˈkwɪtə(r)
quisling	ˈkwɪzlɪŋ
quizzical	ˈkwɪzɪkl
quizzically	ˈkwɪzɪkli
quota	ˈkwəʊtə
quotable	ˈkwəʊtəbl
quote	kwəʊt
quoit	kɔɪt
quorum	ˈkwɔːrəm
quoth	kwəʊθ
quotient	ˈkwəʊʃnt
rabbit	ˈræbɪt
rabble	ˈræbl
race	reɪs
qwerty	ˈkwɜːti
quick	kwɪk
quizmaster	ˈkwɪzmɑːstə(r)
quit	kwɪt
quotidian	kwɒˈtɪdiən
quotation	kwəʊˈteɪʃn
racecourse	ˈreɪskɔːs
racer	ˈreɪsə(r)
racetrack	ˈreɪstræk
rabid	ˈræbɪd
quixotic	kwɪkˈsɒtɪk
raceway	ˈreɪsweɪ
raccoon	rəˈkuːn
rabbi	ˈræbaɪ
racehorse	ˈreɪshɔːs
racialist	ˈreɪʃəlɪst
rabies	ˈreɪbiːz
racism	ˈreɪsɪzəm
racist	ˈreɪsɪst
racial	ˈreɪʃl
racially	ˈreɪʃəli
racquetball	ˈrækɪtbɔːl
rack	ræk
racket	ˈrækɪt
racing	ˈreɪsɪŋ
rabbinical	rəˈbɪnɪkl
raconteur	ˌrækɒnˈtɜː(r)
radial	ˈreɪdiəl
radially	ˈreɪdiəli
radar	ˈreɪdɑː(r)
raddled	ˈrædld
radiant	ˈreɪdiənt
radiantly	ˈreɪdiəntli
rad	ræd
radicalism	ˈrædɪkəlɪzəm
racialism	ˈreɪʃəlɪzəm
radiate	ˈreɪdieɪt
racy	ˈreɪsi
radiance	ˈreɪdiəns
racketeer	ˌrækəˈtɪə(r)
radiator	ˈreɪdieɪtə(r)
radii	ˈreɪdiaɪ
radicchio	ræˈdiːkiəʊ
radio	ˈreɪdiəʊ
radian	ˈreɪdiən
radicalize	ˈrædɪkəlaɪz
radical	ˈrædɪkl
radically	ˈrædɪkli
radiochemistry	ˌreɪdiəʊˈkemɪstri
radiochemical	ˌreɪdiəʊˈkemɪkl
radiation	ˌreɪdiˈeɪʃn
radiocarbon	ˌreɪdiəʊˈkɑːbən
radiology	ˌreɪdiˈɒlədʒi
radiologist	ˌreɪdiˈɒlədʒɪst
radiography	ˌreɪdiˈɒɡrəfi
radiometric	ˌreɪdiəʊˈmetrɪk
radiometrically	ˌreɪdiəʊˈmetrɪkli
radiotherapy	ˌreɪdiəʊˈθerəpi
radiotherapist	ˌreɪdiəʊˈθerəpɪst
radioactive	ˌreɪdiəʊˈæktɪv
radioactivity	ˌreɪdiəʊækˈtɪvəti
radioisotope	ˌreɪdiəʊˈaɪsətəʊp
radium	ˈreɪdiəm
radish	ˈrædɪʃ
radius	ˈreɪdiəs
radii	ˈreɪdiaɪ
raffish	ˈræfɪʃ
rafting	ˈrɑːftɪŋ
rag	ræɡ
rafter	ˈrɑːftə(r)
ragamuffin	ˈræɡəmʌfɪn
ragbag	ˈræɡbæɡ
radon	ˈreɪdɒn
raffle	ˈræfl
ragout	ræˈɡuː
raging	ˈreɪdʒɪŋ
raglan	ˈræɡlən
raid	reɪd
ragwort	ˈræɡwɜːt
ragtime	ˈræɡtaɪm
ragged	ˈræɡɪd
raggedly	ˈræɡɪdli
ragtag	ˈræɡtæɡ
raft	rɑːft
railroad	ˈreɪlrəʊd
rail	reɪl
raffia	ˈræfiə
railroader	ˈreɪlrəʊdə(r)
railway	ˈreɪlweɪ
raiment	ˈreɪmənt
ragweed	ˈræɡwiːd
raillery	ˈreɪləri
rainfall	ˈreɪnfɔːl
raindrop	ˈreɪndrɒp
rain	reɪn
rainout	ˈreɪnaʊt
rainproof	ˈreɪnpruːf
rainstorm	ˈreɪnstɔːm
raga	ˈrɑːɡə
rainy	ˈreɪni
rainwater	ˈreɪnwɔːtə(r)
raise	reɪz
raj	rɑːdʒ
rake	reɪk
raisin	ˈreɪzn
raising	ˈreɪzɪŋ
rage	reɪdʒ
rally	ˈræli
railcar	ˈreɪlkɑː(r)
raider	ˈreɪdə(r)
raised	reɪzd
railing	ˈreɪlɪŋ
raincoat	ˈreɪnkəʊt
rakish	ˈreɪkɪʃ
rakishly	ˈreɪkɪʃli
rainbow	ˈreɪnbəʊ
rallentando	ˌrælənˈtændəʊ
ram	ræm
raki	ˈrɑːki
rambling	ˈræmblɪŋ
rambler	ˈræmblə(r)
rambutan	ræmˈbuːtn
rambunctious	ræmˈbʌŋkʃəs
rainwear	ˈreɪnweə(r)
rainmaker	ˈreɪnmeɪkə(r)
rampage	ˈræmpeɪdʒ
ramification	ˌræmɪfɪˈkeɪʃn
raked	reɪkt
ramble	ˈræmbl
rampart	ˈræmpɑːt
raja	ˈrɑːdʒə
ranch	rɑːntʃ
rampant	ˈræmpənt
rampantly	ˈræmpəntli
ramshackle	ˈræmʃækl
ramrod	ˈræmrɒd
ran	ræn
ramp	ræmp
ramekin	ˈræməkɪn
rallying	ˈræliɪŋ
ranching	ˈrɑːntʃɪŋ
rancid	ˈrænsɪd
random	ˈrændəm
randomly	ˈrændəmli
rancher	ˈrɑːntʃə(r)
rancour	ˈræŋkə(r)
rancorous	ˈræŋkərəs
rang	ræŋ
randomize	ˈrændəmaɪz
rangy	ˈreɪndʒi
rankle	ˈræŋkl
ranking	ˈræŋkɪŋ
ranger	ˈreɪndʒə(r)
randy	ˈrændi
ransom	ˈrænsəm
rape	reɪp
rank	ræŋk
rapacious	rəˈpeɪʃəs
rapaciously	rəˈpeɪʃəsli
rani	ˈrɑːniː
rap	ræp
rapeseed	ˈreɪpsiːd
rapper	ˈræpə(r)
rand	rænd
ransack	ˈrænsæk
rapids	ˈræpɪdz
rant	rænt
rappel	ræˈpel
raptor	ˈræptə(r)
rapt	ræpt
rapier	ˈreɪpiə(r)
rapprochement	ræˈprɒʃmɒ̃
rarefied	ˈreərɪfaɪd
rapture	ˈræptʃə(r)
rapporteur	ˌræpɔːˈtɜː(r)
rapport	ræˈpɔː(r)
range	reɪndʒ
rarely	ˈreəli
rapist	ˈreɪpɪst
rare	reə(r)
rarebit	ˈreəbɪt
rascal	ˈrɑːskl
rascally	ˈrɑːskli
rasp	rɑːsp
raring	ˈreərɪŋ
rash	ræʃ
rasher	ˈræʃə(r)
rarity	ˈreərəti
raspy	ˈrɑːspi
ratchet	ˈrætʃɪt
rate	reɪt
ratatouille	ˌrætəˈtuːi
ratbag	ˈrætbæɡ
ratepayer	ˈreɪtpeɪə(r)
rapturous	ˈræptʃərəs
rapturously	ˈræptʃərəsli
rating	ˈreɪtɪŋ
ratio	ˈreɪʃiəʊ
ration	ˈræʃn
rather	ˈrɑːðə(r)
rationale	ˌræʃəˈnɑːl
raspberry	ˈrɑːzbəri
ratify	ˈrætɪfaɪ
ratification	ˌrætɪfɪˈkeɪʃn
rationalism	ˈræʃnəlɪzəm
rationalist	ˈræʃnəlɪst
rapid	ˈræpɪd
rapidity	rəˈpɪdəti
rat	ræt
rats	ræts
ratiocination	ˌrætiˌɒsɪˈneɪʃn
rattan	ræˈtæn
rattle	ˈrætl
rationing	ˈræʃənɪŋ
rattling	ˈrætlɪŋ
ratty	ˈræti
rattlesnake	ˈrætlsneɪk
rationalize	ˈræʃnəlaɪz
rationalization	ˌræʃnəlaɪˈzeɪʃn
raunchy	ˈrɔːntʃi
raucous	ˈrɔːkəs
raucously	ˈrɔːkəsli
rational	ˈræʃnəl
rationality	ˌræʃəˈnæləti
ravages	ˈrævɪdʒɪz
ravage	ˈrævɪdʒ
ravel	ˈrævl
raving	ˈreɪvɪŋ
ravish	ˈrævɪʃ
ravine	rəˈviːn
raver	ˈreɪvə(r)
raw	rɔː
rawness	rɔːnəs
rave	reɪv
raven	ˈreɪvn
ravings	ˈreɪvɪŋz
ravening	ˈrævənɪŋ
rawhide	ˈrɔːhaɪd
ravishing	ˈrævɪʃɪŋ
ravishingly	ˈrævɪʃɪŋli
ravenous	ˈrævənəs
ravenously	ˈrævənəsli
raze	reɪz
rayon	ˈreɪɒn
razor	ˈreɪzə(r)
re	ˌɑːr ˈiː
razz	ræz
ravioli	ˌræviˈəʊli
reach	riːtʃ
reachable	ˈriːtʃəbl
reacquaint	ˌriːəˈkweɪnt
react	riˈækt
reactant	riˈæktənt
reactivate	riˈæktɪveɪt
reactivation	riˌæktɪˈveɪʃn
read	riːd
read	red
razorbill	ˈreɪzəbɪl
reactor	riˈæktə(r)
readership	ˈriːdəʃɪp
readable	ˈriːdəbl
readability	ˌriːdəˈbɪləti
readily	ˈredɪli
reactive	riˈæktɪv
reading	ˈriːdɪŋ
readiness	ˈredinəs
ray	reɪ
readjust	ˌriːəˈdʒʌst
readjustment	ˌriːəˈdʒʌstmənt
ready	ˈredi
reagent	riˈeɪdʒənt
reactionary	riˈækʃənri
readdress	ˌriːəˈdres
reactance	riˈæktəns
reactivity	ˌriːækˈtɪvɪti
readmit	ˌriːədˈmɪt
readmission	ˌriːədˈmɪʃn
real	rɪəl
realia	reɪˈɑːliə
reader	ˈriːdə(r)
realist	ˈriːəlɪst
realistically	ˌriːəˈlɪstɪkli
reallocate	ˌriːˈæləkeɪt
reallocation	ˌriːˌæləˈkeɪʃn
realm	relm
ream	riːm
reafforestation	ˌriːəˌfɒrɪˈsteɪʃn
realign	ˌriːəˈlaɪn
realignment	ˌriːəˈlaɪnmənt
realize	ˈriːəlaɪz
really	ˈriːəli
reanimate	riːˈænɪmeɪt
realization	ˌriːəlaɪˈzeɪʃn
reaffirm	ˌriːəˈfɜːm
reaffirmation	ˌriːˌæfəˈmeɪʃn
realpolitik	reɪˈɑːlpɒlɪtiːk
reaction	riˈækʃn
reap	riːp
reaper	ˈriːpə(r)
reality	riˈæləti
realty	ˈriːəlti
reapply	ˌriːəˈplaɪ
realizable	ˈriːəlaɪzəbl
reappoint	ˌriːəˈpɔɪnt
reappointment	ˌriːəˈpɔɪnmənt
reappear	ˌriːəˈpɪə(r)
reappearance	ˌriːəˈpɪərəns
reappraise	ˌriːəˈpreɪz
rear	rɪə(r)
rearing	ˈrɪərɪŋ
realism	ˈriːəlɪzəm
reappraisal	ˌriːəˈpreɪzl
rearmost	ˈrɪəməʊst
rearrange	ˌriːəˈreɪndʒ
rearrangement	ˌriːəˈreɪndʒmənt
reasonably	ˈriːznəbli
reason	ˈriːzn
rearguard	ˈrɪəɡɑːd
reasoned	ˈriːzənd
reassert	ˌriːəˈsɜːt
rearward	ˈrɪəwəd
reassess	ˌriːəˈses
reassessment	ˌriːəˈsesmənt
reassign	ˌriːəˈsaɪn
reasoning	ˈriːzənɪŋ
reassuring	ˌriːəˈʃʊərɪŋ
reassemble	ˌriːəˈsembl
reawaken	ˌriːəˈweɪkən
realistic	ˌriːəˈlɪstɪk
rebarbative	rɪˈbɑːbətɪv
rebate	ˈriːbeɪt
reassure	ˌriːəˈʃʊə(r)
reassurance	ˌriːəˈʃʊərəns
rebel	ˈrebl
rebellion	rɪˈbeljən
rebirth	ˌriːˈbɜːθ
rebound	rɪˈbaʊnd
reboot	ˌriːˈbuːt
rebuke	rɪˈbjuːk
rebellious	rɪˈbeljəs
rebelliously	rɪˈbeljəsli
reborn	ˌriːˈbɔːn
rebus	ˈriːbəs
rebut	rɪˈbʌt
rebuttal	rɪˈbʌtl
rebuild	ˌriːˈbɪld
rebuilt	ˌriːˈbɪlt
recalcitrant	rɪˈkælsɪtrənt
recalcitrance	rɪˈkælsɪtrəns
recall	rɪˈkɔːl
rebuff	rɪˈbʌf
recapitulate	ˌriːkəˈpɪtʃuleɪt
recapitulation	ˌriːkəpɪtʃuˈleɪʃn
recapture	ˌriːˈkæptʃə(r)
recce	ˈreki
receipt	rɪˈsiːt
receivable	rɪˈsiːvəbl
recap	ˈriːkæp
recently	ˈriːsntli
receivership	rɪˈsiːvəʃɪp
receptive	rɪˈseptɪv
receptiveness	rɪˈseptɪvnəs
receive	rɪˈsiːv
received	rɪˈsiːvd
receptacle	rɪˈseptəkl
receptor	rɪˈseptə(r)
receivables	rɪˈsiːvəblz
receiver	rɪˈsiːvə(r)
recess	rɪˈses
recent	ˈriːsnt
recession	rɪˈseʃn
receptionist	rɪˈsepʃənɪst
recast	ˌriːˈkɑːst
recessive	rɪˈsesɪv
recant	rɪˈkænt
recantation	ˌriːkænˈteɪʃn
recessionary	rɪˈseʃnri
recherche	rəˈʃeəʃeɪ
recharge	ˌriːˈtʃɑːdʒ
reception	rɪˈsepʃn
recede	rɪˈsiːd
recipient	rɪˈsɪpiənt
reciprocal	rɪˈsɪprəkl
reciprocally	rɪˈsɪprəkli
reciprocate	rɪˈsɪprəkeɪt
reciprocation	rɪˌsɪprəˈkeɪʃn
reciprocity	ˌresɪˈprɒsəti
recital	rɪˈsaɪtl
recitative	ˌresɪtəˈtiːv
recitation	ˌresɪˈteɪʃn
reckless	ˈrekləs
recklessly	ˈrekləsli
reckon	ˈrekən
reclaim	rɪˈkleɪm
reclamation	ˌrekləˈmeɪʃn
recidivist	rɪˈsɪdɪvɪst
recidivism	rɪˈsɪdɪvɪzəm
recluse	rɪˈkluːs
reclusive	rɪˈkluːsɪv
recliner	rɪˈklaɪnə(r)
recite	rɪˈsaɪt
recognize	ˈrekəɡnaɪz
recoil	rɪˈkɔɪl
reclassify	ˌriːˈklæsɪfaɪ
recline	rɪˈklaɪn
reckoning	ˈrekənɪŋ
recognizance	rɪˈkɒɡnɪzəns
recollect	ˌrekəˈlekt
recognizable	ˈrekəɡnaɪzəbl
recognizably	ˈrekəɡnaɪzəbli
recognizably	ˌrekəɡˈnaɪzəbli
recollection	ˌrekəˈlekʃn
recognition	ˌrekəɡˈnɪʃn
recommend	ˌrekəˈmend
recompense	ˈrekəmpens
recommendation	ˌrekəmenˈdeɪʃn
reconcile	ˈrekənsaɪl
reconcilable	ˌrekənˈsaɪləbl
recommence	ˌriːkəˈmens
recondition	ˌriːkənˈdɪʃn
recon	rɪˈkɒn
recondite	ˈrekəndaɪt
reconfirm	ˌrɪːkənˈfɜːm
reconfigure	ˌriːkənˈfɪɡə(r)
reconnoitre	ˌrekəˈnɔɪtə(r)
reconciliation	ˌrekənsɪliˈeɪʃn
reconstitute	ˌriːˈkɒnstɪtjuːt
reconstitution	ˌriːˌkɒnstɪˈtjuːʃn
reconnect	ˌriːkəˈnekt
reconstruct	ˌriːkənˈstrʌkt
reconstructive	ˌriːkənˈstrʌktɪv
reconstruction	ˌriːkənˈstrʌkʃn
reconquer	ˌriːˈkɒŋkə(r)
reconvene	ˌriːkənˈviːn
reconnaissance	rɪˈkɒnɪsns
reconsider	ˌriːkənˈsɪdə(r)
reconsideration	ˌriːkənˌsɪdəˈreɪʃn
recorder	rɪˈkɔːdə(r)
recording	rɪˈkɔːdɪŋ
recoup	rɪˈkuːp
recovery	rɪˈkʌvəri
recover	rɪˈkʌvə(r)
recoverable	rɪˈkʌvərəbl
recreate	ˌriːkriˈeɪt
recreation	ˌriːkriˈeɪʃn
recreant	ˈrekriənt
recreational	ˌrekriˈeɪʃənl
recordist	rɪˈkɔːdɪst
recrimination	rɪˌkrɪmɪˈneɪʃn
recriminatory	rɪˈkrɪmɪnətri
recourse	rɪˈkɔːs
recreation	ˌrekriˈeɪʃn
recount	rɪˈkaʊnt
rectal	ˈrektəl
rectangle	ˈrektæŋɡl
rectangular	rekˈtæŋɡjələ(r)
recrudesce	ˌriːkruːˈdes
recrudescence	ˌriːkruːˈdesns
rectify	ˈrektɪfaɪ
rectifiable	ˌrektɪˈfaɪəbl
rectitude	ˈrektɪtjuːd
rectum	ˈrektəm
recto	ˈrektəʊ
recumbent	rɪˈkʌmbənt
recurrent	rɪˈkʌrənt
recuperative	rɪˈkuːpərətɪv
recurrence	rɪˈkʌrəns
recruit	rɪˈkruːt
recruiter	rɪˈkruːtə(r)
record	ˈrekɔːd
recursion	rɪˈkɜːʃn
rector	ˈrektə(r)
recusant	ˈrekjʊzənt
recusancy	ˈrekjʊzənsi
recur	rɪˈkɜː(r)
recycle	ˌriːˈsaɪkl
recycling	ˌriːˈsaɪklɪŋ
recursive	rɪˈkɜːsɪv
rectilinear	ˌrektɪˈlɪniə(r)
recuperate	rɪˈkuːpəreɪt
recuperation	rɪˌkuːpəˈreɪʃn
redden	ˈredn
rectory	ˈrektəri
redbreast	ˈredbrest
reddish	ˈredɪʃ
redcoat	ˈredkəʊt
redcap	ˈredkæp
redeemable	rɪˈdiːməbl
redeem	rɪˈdiːm
redact	rɪˈdækt
redaction	rɪˈdækʃn
redefine	ˌriːdɪˈfaɪn
redefinition	ˌriːdefɪˈnɪʃn
redecorate	ˌriːˈdekəreɪt
redecoration	ˌriːˌdekəˈreɪʃn
redeemer	rɪˈdiːmə(r)
redemptive	rɪˈdemptɪv
redemption	rɪˈdempʃn
redeploy	ˌriːdɪˈplɔɪ
redeployment	ˌriːdɪˈplɔɪmənt
redevelop	ˌriːdɪˈveləp
redevelopment	ˌriːdɪˈveləpmənt
red	red
redness	rednəs
redial	ˈriːdaɪəl
redid	ˌriːˈdɪd
redesign	ˌriːdɪˈzaɪn
redhead	ˈredhed
redistribute	ˌriːdɪˈstrɪbjuːt
redistribution	ˌriːdɪstrɪˈbjuːʃn
redneck	ˈrednek
redo	ˌriːˈduː
redoes	ˌriːˈdʌz
redid	ˌriːˈdɪd
redone	ˌriːˈdʌn
redoubt	rɪˈdaʊt
redound	rɪˈdaʊnd
redirect	ˌriːdəˈrekt
rediscover	ˌriːdɪˈskʌvə(r)
rediscovery	ˌriːdɪˈskʌvəri
redistrict	ˌriːˈdɪstrɪkt
redskin	ˈredskɪn
redress	rɪˈdres
redouble	ˌriːˈdʌbl
redraft	ˌriːˈdrɑːft
redraft	ˈriːdrɑːft
redraw	ˌriːˈdrɔː
redrew	ˌriːˈdruː
redrawn	ˌriːˈdrɔːn
reducible	rɪˈdjuːsəbl
reductionism	rɪˈdʌkʃənɪzəm
reductionist	rɪˈdʌkʃənɪst
reduction	rɪˈdʌkʃn
redwood	ˈredwʊd
redshank	ˈredʃæŋk
redolent	ˈredələnt
redolence	ˈredələns
redundancy	rɪˈdʌndənsi
reduplicate	ˌriːˈdjuːplɪkeɪt
redundant	rɪˈdʌndənt
redundantly	rɪˈdʌndəntli
reedy	ˈriːdi
reefer	ˈriːfə(r)
reel	riːl
reef	riːf
reductive	rɪˈdʌktɪv
reed	riːd
reek	riːk
reduce	rɪˈdjuːs
ref	ref
reeve	riːv
refectory	rɪˈfektri
referee	ˌrefəˈriː
reference	ˈrefrəns
referral	rɪˈfɜːrəl
referendum	ˌrefəˈrendəm
refill	ˌriːˈfɪl
refillable	ˌriːˈfɪləbl
refine	rɪˈfaɪn
refinement	rɪˈfaɪnmənt
refined	rɪˈfaɪnd
refiner	rɪˈfaɪnə(r)
refinery	rɪˈfaɪnəri
referable	rɪˈfɜːrəbl
reflate	ˌriːˈfleɪt
reflation	ˌriːˈfleɪʃn
reflectance	rɪˈflektəns
reflector	rɪˈflektə(r)
reflexology	ˌriːfleksˈɒlədʒi
reflexologist	ˌriːfleksˈɒlədʒɪst
reflexive	rɪˈfleksɪv
reflow	ˈriːfləʊ
reflection	rɪˈflekʃn
reflect	rɪˈflekt
refloat	ˌriːˈfləʊt
reflective	rɪˈflektɪv
reflectively	rɪˈflektɪvli
reflectivity	ˌriːflekˈtɪvɪti
reforestation	ˌriːfɒrɪˈsteɪʃn
reform	rɪˈfɔːm
reformer	rɪˈfɔːmə(r)
refit	ˌriːˈfɪt
refinance	ˌriːˈfaɪnæns
reflex	ˈriːfleks
refocus	ˌriːˈfəʊkəs
reformulate	ˌriːˈfɔːmjuleɪt
reformulation	ˌriːˌfɔːmjuˈleɪʃn
reformation	ˌrefəˈmeɪʃn
reformist	rɪˈfɔːmɪst
refractometer	rɪˌfrækˈtɒmɪtə(r)
refractive	rɪˈfræktɪv
refract	rɪˈfrækt
refraction	rɪˈfrækʃn
refrain	rɪˈfreɪn
refractory	rɪˈfræktəri
refresh	rɪˈfreʃ
reformatory	rɪˈfɔːmətri
refer	rɪˈfɜː(r)
refuel	ˌriːˈfjuːəl
reformat	ˌriːˈfɔːmæt
refuge	ˈrefjuːdʒ
refreshing	rɪˈfreʃɪŋ
refreshingly	rɪˈfreʃɪŋli
refusenik	rɪˈfjuːznɪk
refractor	rɪˈfræktə(r)
refugee	ˌrefjuˈdʒiː
refund	ˈriːfʌnd
refuse	rɪˈfjuːz
refute	rɪˈfjuːt
refutable	rɪˈfjuːtəbl
refrigerate	rɪˈfrɪdʒəreɪt
refrigeration	rɪˌfrɪdʒəˈreɪʃn
refusal	rɪˈfjuːzl
regalia	rɪˈɡeɪliə
refurbish	ˌriːˈfɜːbɪʃ
refurbishment	ˌriːˈfɜːbɪʃmənt
regarding	rɪˈɡɑːdɪŋ
regal	ˈriːɡl
regally	ˈriːɡəli
regardless	rɪˈɡɑːdləs
refulgent	rɪˈfʌldʒənt
regatta	rɪˈɡætə
regency	ˈriːdʒənsi
regimen	ˈredʒɪmən
regenerate	rɪˈdʒenəreɪt
regeneration	rɪˌdʒenəˈreɪʃn
reggae	ˈreɡeɪ
regime	reɪˈʒiːm
regicide	ˈredʒɪsaɪd
regimental	ˌredʒɪˈmentl
reg	redʒ
regain	rɪˈɡeɪn
regiment	ˈredʒɪmənt
regimented	ˈredʒɪmentɪd
regimentation	ˌredʒɪmenˈteɪʃn
regionalism	ˈriːdʒənəlɪzəm
regional	ˈriːdʒənl
regionally	ˈriːdʒənəli
regard	rɪˈɡɑːd
regent	ˈriːdʒənt
regina	rɪˈdʒaɪnə
registry	ˈredʒɪstri
region	ˈriːdʒən
registration	ˌredʒɪˈstreɪʃn
registrar	ˌredʒɪˈstrɑː(r)
regressive	rɪˈɡresɪv
regretfully	rɪˈɡretfəli
regression	rɪˈɡreʃn
regret	rɪˈɡret
regrettable	rɪˈɡretəbl
regrettably	rɪˈɡretəbli
regularize	ˈreɡjələraɪz
regular	ˈreɡjələ(r)
regress	rɪˈɡres
regulation	ˌreɡjuˈleɪʃn
regularly	ˈreɡjələli
regroup	ˌriːˈɡruːp
regularity	ˌreɡjuˈlærəti
regulator	ˈreɡjuleɪtə(r)
regurgitate	rɪˈɡɜːdʒɪteɪt
regurgitation	rɪˌɡɜːdʒɪˈteɪʃn
regretful	rɪˈɡretfl
register	ˈredʒɪstə(r)
regulatory	ˈreɡjələtəri
regulate	ˈreɡjuleɪt
rehab	ˈriːhæb
rehash	ˌriːˈhæʃ
reheat	ˌriːˈhiːt
rehoboam	ˌriːəˈbəʊəm
rehear	ˌriːˈhɪə(r)
reheard	ˌriːˈhɜːd
rehabilitate	ˌriːəˈbɪlɪteɪt
rehabilitation	ˌriːəˌbɪlɪˈteɪʃn
rehouse	ˌriːˈhaʊz
